image_path,cluster_id,class_name
training_patches\Cartosat_Grid_stretched_0_0.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_1024.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_1152.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_128.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_1280.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_1408.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_1536.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_1664.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_1792.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_1920.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_2048.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_2176.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_2304.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_2432.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_256.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_2560.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_2688.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_2816.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_2944.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_3072.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_384.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_512.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_640.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_0_768.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_0_896.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_1024_0.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_1024_1024.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_1024_1152.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_1024_128.png,0,Low_Vegetation_Fields
training_patches\Cartosat_Grid_stretched_1024_1280.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_1024_1408.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_1024_1536.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_1024_1664.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_1024_1792.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_1024_1920.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_1024_2048.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_1024_2176.png,3,Urban_Built_Up
training_patches\Cartosat_Grid_stretched_1024_2304.png,3,Urban_Built_Up
